familyname,foundryname,defaultlanguages,opensource,thirtydaypings,
Proxima Nova,Mark Simonson Studio,en,f,5502419349,
Proxima Nova,Mark Simonson Studio,en,f,5073427679,
Proxima Nova,Mark Simonson Studio,en,f,3775504178,
Proxima Nova,Mark Simonson Studio,en,f,3290931653,
Proxima Nova,Mark Simonson Studio,en,f,3165635905,
Proxima Nova,Mark Simonson Studio,en,f,3037101149,
Futura PT,ParaType,en,f,2545169910,
Myriad,Adobe,en,f,2472028451,
Futura PT,ParaType,en,f,2386604919,
Myriad,Adobe,en,f,2277824393,
Myriad,Adobe,en,f,1957159332,
Proxima Nova,Mark Simonson Studio,en,f,1799602439,
Proxima Nova,Mark Simonson Studio,en,f,1672335631,
Proxima Nova,Mark Simonson Studio,en,f,1616734053,
Proxima Nova,Mark Simonson Studio,en,f,1616499735,
Proxima Nova,Mark Simonson Studio,en,f,1294003878,
Futura PT,ParaType,en,f,1258935443,
Proxima Nova,Mark Simonson Studio,en,f,1228463473,
Proxima Nova,Mark Simonson Studio,en,f,1094550391,
Proxima Nova,Mark Simonson Studio,en,f,956355080,
Museo Sans,exljbris Font Foundry,en,f,928455279,
Futura PT,ParaType,en,f,920395330,
Futura PT,ParaType,en,f,919967420,
Proxima Nova,Mark Simonson Studio,en,f,919013795,
Museo Sans,exljbris Font Foundry,en,f,882293610,
Brandon Grotesque,HVD Fonts,en,f,857641084,
Proxima Nova,Mark Simonson Studio,en,f,848970702,
Myriad,Adobe,en,f,833816787,
Futura PT,ParaType,en,f,826795489,
Brandon Grotesque,HVD Fonts,en,f,820162624,
Futura PT,ParaType,en,f,716260044,
Museo Sans,exljbris Font Foundry,en,f,710398852,
Brandon Grotesque,HVD Fonts,en,f,690733262,
Myriad,Adobe,en,f,686167112,
Futura PT,ParaType,en,f,659211618,
Myriad,Adobe,en,f,641182748,
Futura PT,ParaType,en,f,624198648,
Museo Sans,exljbris Font Foundry,en,f,586386369,
Futura PT,ParaType,en,f,533971581,
Museo Sans,exljbris Font Foundry,en,f,493522843,
Adobe Caslon,Adobe,en,f,464123198,
Adobe Garamond,Adobe,en,f,446492186,
Museo Sans,exljbris Font Foundry,en,f,445489176,
Adobe Caslon,Adobe,en,f,443104330,
Brandon Grotesque,HVD Fonts,en,f,443029019,
Brandon Grotesque,HVD Fonts,en,f,388405818,
Museo Slab,exljbris Font Foundry,en,f,372986485,
Museo Sans,exljbris Font Foundry,en,f,368620668,
Adobe Garamond,Adobe,en,f,360988805,
Freight Sans,Phil's Fonts,en,f,350305416,
Museo Slab,exljbris Font Foundry,en,f,343060940,
Proxima Nova,Mark Simonson Studio,en,f,337646065,
Freight Sans,Phil's Fonts,en,f,333390835,
FF Tisa,FontFont,en,f,331866825,
Minion,Adobe,en,f,319563876,
Franklin Gothic URW,URW++,en,f,317770003,
FF Tisa,FontFont,en,f,310207680,
DIN Condensed,ParaType,en,f,309321000,
Franklin Gothic URW,URW++,en,f,299759941,
JAF Facit,Just Another Foundry,en,f,296197540,
Adobe Garamond,Adobe,en,f,295811548,
Minion,Adobe,en,f,286940975,
Myriad,Adobe,en,f,285908018,
Proxima Nova,Mark Simonson Studio,en,f,281585853,
Adelle,TypeTogether,en,f,280569349,
